,number,value,datetime_start,datetime_complete,duration,params_batchind,params_batchnormalization,params_batchnormalization0,params_batchnormalization1,params_batchnormalization2,params_batchnormalization3,params_batchnormalization4,params_batchnormalization5,params_batchnormalization6,params_dropout,params_epochs,params_filtersind0,params_filtersind1,params_filtersind2,params_filtersind3,params_filtersind4,params_filtersind5,params_filtersind6,params_kernel_size0,params_kernel_size1,params_kernel_size2,params_kernel_size3,params_kernel_size4,params_kernel_size5,params_kernel_size6,params_learnind,params_maxpooling,params_maxpooling0,params_maxpooling1,params_maxpooling2,params_maxpooling3,params_maxpooling4,params_maxpooling5,params_maxpooling6,params_n_conv_layers,params_n_dense_layers,params_num_hidden_neurons0,params_num_hidden_neurons1,state
51,51,0.632099986076355,2024-07-28 13:52:56.593322,2024-07-28 14:10:13.359424,0 days 00:17:16.766102,8,True,True,False,False,True,False,True,True,0.46,35,5.0,7.0,8.0,5.0,6.0,7.0,6.0,7.0,5.0,11.0,9.0,9.0,11.0,9.0,5,False,True,False,True,False,True,True,,8,1,,,COMPLETE
52,52,0.704800009727478,2024-07-28 13:53:24.072532,2024-07-28 14:09:09.699000,0 days 00:15:45.626468,8,True,True,False,False,True,False,True,True,0.46,37,5.0,6.0,8.0,5.0,7.0,6.0,5.0,7.0,5.0,7.0,9.0,9.0,11.0,11.0,2,False,False,False,True,False,True,True,True,8,1,,,COMPLETE
53,53,0.8057000041007996,2024-07-28 14:09:09.720936,2024-07-28 14:26:51.650009,0 days 00:17:41.929073,8,True,True,False,False,True,False,True,True,0.32,48,5.0,6.0,8.0,5.0,6.0,7.0,6.0,7.0,5.0,7.0,9.0,9.0,11.0,11.0,3,False,False,False,True,False,True,True,True,8,1,,,COMPLETE
54,54,0.7889000177383423,2024-07-28 14:10:13.368615,2024-07-28 14:27:31.047742,0 days 00:17:17.679127,8,True,True,False,False,True,False,True,,0.34,49,5.0,6.0,8.0,5.0,7.0,6.0,,7.0,5.0,7.0,9.0,9.0,11.0,,3,False,False,False,True,False,True,True,,7,1,,,COMPLETE
55,55,0.7749999761581421,2024-07-28 14:26:51.665984,2024-07-28 14:46:17.885730,0 days 00:19:26.219746,8,True,True,False,False,True,False,True,True,0.33,49,5.0,6.0,8.0,5.0,6.0,6.0,6.0,7.0,5.0,7.0,9.0,9.0,11.0,11.0,2,False,False,False,True,False,True,True,True,8,1,,,COMPLETE
56,56,0.7652000188827515,2024-07-28 14:27:31.047742,2024-07-28 14:51:58.864963,0 days 00:24:27.817221,7,True,True,False,False,True,False,True,,0.32,49,5.0,6.0,8.0,5.0,7.0,7.0,,7.0,5.0,7.0,9.0,9.0,11.0,,2,False,False,False,True,False,True,True,,7,1,,,COMPLETE
57,57,0.6877999901771545,2024-07-28 14:46:17.901660,2024-07-28 14:52:00.664133,0 days 00:05:42.762473,7,True,True,False,False,True,False,True,,0.36,72,5.0,6.0,8.0,5.0,7.0,7.0,,7.0,5.0,7.0,9.0,9.0,11.0,,4,True,False,False,True,False,True,True,,7,1,,,COMPLETE
58,58,0.7299000024795532,2024-07-28 14:51:58.882778,2024-07-28 15:04:21.303688,0 days 00:12:22.420910,7,True,True,False,False,True,False,True,,0.36,70,5.0,5.0,8.0,5.0,7.0,7.0,,7.0,5.0,7.0,9.0,9.0,11.0,,4,True,False,False,False,False,True,True,,7,1,,,COMPLETE
59,59,0.7631000280380249,2024-07-28 14:52:00.664133,2024-07-28 15:11:20.242535,0 days 00:19:19.578402,7,True,True,False,False,True,False,True,,0.41000000000000003,24,5.0,5.0,8.0,5.0,7.0,7.0,,7.0,5.0,7.0,3.0,9.0,11.0,,3,False,False,False,False,False,True,True,,7,1,,,COMPLETE
60,60,0.7257000207901001,2024-07-28 15:04:21.320238,2024-07-28 15:13:46.663416,0 days 00:09:25.343178,8,True,True,False,False,False,False,True,,0.24,23,5.0,5.0,8.0,5.0,6.0,6.0,,7.0,11.0,7.0,3.0,9.0,3.0,,3,False,False,False,True,False,True,True,,7,1,,,COMPLETE
61,61,0.8039000034332275,2024-07-28 15:11:20.261492,2024-07-28 15:22:50.203910,0 days 00:11:29.942418,8,True,True,False,False,True,False,True,False,0.25,36,5.0,6.0,7.0,5.0,6.0,6.0,7.0,7.0,11.0,7.0,9.0,9.0,9.0,7.0,3,False,False,False,True,False,True,True,True,8,1,,,COMPLETE
62,62,0.7698000073432922,2024-07-28 15:13:46.663416,2024-07-28 15:21:27.896763,0 days 00:07:41.233347,8,True,True,False,False,True,False,True,True,0.3,10,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,7.0,5.0,9.0,11.0,11.0,3,False,False,False,True,False,True,True,True,8,1,,,COMPLETE
63,63,0.79339998960495,2024-07-28 15:21:27.913381,2024-07-28 15:32:44.513041,0 days 00:11:16.599660,8,True,True,False,False,True,False,True,False,0.38,34,5.0,6.0,7.0,5.0,6.0,6.0,5.0,7.0,5.0,7.0,9.0,9.0,11.0,7.0,3,False,False,False,True,False,True,True,True,8,1,,,COMPLETE
64,64,0.786300003528595,2024-07-28 15:22:50.219609,2024-07-28 15:34:30.612184,0 days 00:11:40.392575,8,True,True,False,False,True,False,True,False,0.26,37,5.0,6.0,7.0,6.0,6.0,5.0,7.0,7.0,11.0,7.0,9.0,7.0,9.0,7.0,3,False,False,False,True,False,True,True,True,8,1,,,COMPLETE
65,65,0.10000000149011612,2024-07-28 15:32:44.529968,2024-07-28 15:46:15.271701,0 days 00:13:30.741733,8,True,True,False,False,False,False,True,False,0.38,31,6.0,6.0,7.0,5.0,6.0,5.0,7.0,7.0,11.0,7.0,9.0,7.0,9.0,7.0,0,False,False,False,True,False,True,True,True,8,1,,,COMPLETE
66,66,0.10000000149011612,2024-07-28 15:34:30.632873,2024-07-28 15:48:22.125420,0 days 00:13:51.492547,8,True,True,False,False,False,False,True,False,0.39,33,6.0,6.0,7.0,5.0,6.0,6.0,7.0,7.0,11.0,7.0,5.0,9.0,9.0,7.0,0,False,False,False,True,True,True,True,,8,1,,,COMPLETE
67,67,0.6836000084877014,2024-07-28 15:46:15.287080,2024-07-28 15:58:09.148723,0 days 00:11:53.861643,9,True,True,False,False,True,False,True,False,0.4,20,5.0,6.0,7.0,5.0,6.0,6.0,7.0,7.0,11.0,7.0,9.0,3.0,7.0,7.0,4,False,False,False,True,True,True,True,,8,1,,,COMPLETE
68,68,0.6610999703407288,2024-07-28 15:48:22.141172,2024-07-28 16:08:18.970796,0 days 00:19:56.829624,9,True,True,False,False,True,True,True,False,0.32,93,5.0,5.0,7.0,5.0,5.0,7.0,6.0,11.0,11.0,5.0,9.0,11.0,7.0,7.0,2,False,False,False,False,False,True,True,True,8,1,,,COMPLETE
69,69,0.20260000228881836,2024-07-28 15:58:09.157457,2024-07-28 16:11:00.835767,0 days 00:12:51.678310,7,True,True,False,False,True,False,True,,0.31,90,5.0,5.0,7.0,6.0,5.0,7.0,,11.0,5.0,5.0,9.0,11.0,9.0,,2,True,False,False,False,False,False,True,,7,2,6.0,,COMPLETE
70,70,0.48420000076293945,2024-07-28 16:08:18.988832,2024-07-28 16:31:56.553127,0 days 00:23:37.564295,7,True,True,False,False,True,True,True,,0.29,44,5.0,5.0,7.0,6.0,5.0,8.0,,7.0,5.0,11.0,7.0,5.0,9.0,,3,True,False,False,True,False,False,False,,7,2,35.0,,COMPLETE
71,71,0.8062999844551086,2024-07-28 16:11:00.851787,2024-07-28 16:20:36.233834,0 days 00:09:35.382047,8,True,True,False,False,True,True,True,False,0.29,51,7.0,5.0,7.0,6.0,6.0,8.0,5.0,7.0,5.0,11.0,7.0,5.0,11.0,5.0,3,False,False,False,True,False,True,False,True,8,1,,,COMPLETE
72,72,0.8048999905586243,2024-07-28 16:20:36.240454,2024-07-28 16:35:06.973865,0 days 00:14:30.733411,8,True,True,False,False,True,True,True,False,0.29,43,7.0,5.0,7.0,6.0,6.0,8.0,5.0,7.0,5.0,11.0,7.0,5.0,11.0,5.0,3,False,False,False,True,False,True,False,True,8,1,,,COMPLETE
73,73,0.8029999732971191,2024-07-28 16:31:56.560085,2024-07-28 16:49:31.513866,0 days 00:17:34.953781,8,True,True,False,False,True,True,True,False,0.25,19,7.0,5.0,7.0,6.0,6.0,8.0,5.0,7.0,5.0,11.0,7.0,5.0,11.0,5.0,3,False,False,False,True,False,True,False,True,8,1,,,COMPLETE
