,ID,testfold,validationfold,exp_mean_loss,loss,accuracy,time
81,IR3,2,5,0.758814996,1.0109858512878418,0.7498999834060669,409.96346282958984
82,IR3,3,5,0.758814996,1.0289249420166016,0.7335000038146973,347.4637324810028
83,IR3,4,5,0.758814996,1.1305180788040161,0.7382000088691711,410.19342374801636
84,IR3,5,5,0.758814996,1.0112440586090088,0.7551000118255615,409.8735213279724
85,IR3,1,6,0.758814996,1.1210862398147583,0.7426000237464905,410.57748341560364
86,IR3,2,6,0.758814996,1.0862646102905273,0.7268000245094299,315.9426646232605
87,IR3,3,6,0.758814996,0.9245790243148804,0.7501999735832214,315.9807982444763
88,IR3,4,6,0.758814996,1.0614866018295288,0.7572000026702881,378.70578718185425
89,IR3,5,6,0.758814996,1.0601017475128174,0.746999979019165,347.30529594421387
90,IR4,1,1,0.753729999,0.7950242161750793,0.7372000217437744,162.71734809875488
91,IR4,2,1,0.753729999,0.8343819379806519,0.7366999983787537,200.16483545303345
92,IR4,3,1,0.753729999,0.8387105464935303,0.729200005531311,181.34029006958008
93,IR4,4,1,0.753729999,0.8165740966796875,0.7383999824523926,171.54509949684143
94,IR4,5,1,0.753729999,0.8032864928245544,0.7368999719619751,171.81396317481995
95,IR4,1,2,0.753729999,0.8064142465591431,0.738099992275238,181.39576148986816
96,IR4,2,2,0.753729999,0.8044073581695557,0.7454000115394592,190.722510099411
97,IR4,3,2,0.753729999,0.7917190790176392,0.737500011920929,171.82575154304504
98,IR4,4,2,0.753729999,0.8168144822120667,0.7459999918937683,200.5704152584076
99,IR4,5,2,0.753729999,0.7983044385910034,0.7369999885559082,190.8169605731964
100,IR4,1,3,0.753729999,0.8243651390075684,0.7369999885559082,190.94763159751892
101,IR4,2,3,0.753729999,0.8198642730712891,0.7303000092506409,181.21591305732727
102,IR4,3,3,0.753729999,0.8308494091033936,0.7315999865531921,181.91406202316284
103,IR4,4,3,0.753729999,0.8258063197135925,0.7339000105857849,210.01777267456055
104,IR4,5,3,0.753729999,0.8722321391105652,0.7229999899864197,181.80074405670166
105,IR4,1,4,0.753729999,0.8162432909011841,0.7390999794006348,210.25439357757568
106,IR4,2,4,0.753729999,0.8249226808547974,0.7325999736785889,191.12629652023315
107,IR4,3,4,0.753729999,0.8492324352264404,0.7239000201225281,172.07627844810486
108,IR4,4,4,0.753729999,0.8053417205810547,0.7365000247955322,172.21002101898193
109,IR4,5,4,0.753729999,0.8280338048934937,0.734499990940094,181.730082988739
110,IR4,1,5,0.753729999,0.8394278287887573,0.7232000231742859,162.98810148239136
111,IR4,2,5,0.753729999,0.8274363279342651,0.7232999801635742,162.32357931137085
112,IR4,3,5,0.753729999,0.8147012591362,0.7353000044822693,171.96180152893066
113,IR4,4,5,0.753729999,0.8123737573623657,0.7371000051498413,181.6456754207611
114,IR4,5,5,0.753729999,0.8234546184539795,0.7376000285148621,201.13489890098572
115,IR4,1,6,0.753729999,0.7965051531791687,0.7416999936103821,182.15240287780762
116,IR4,2,6,0.753729999,0.800574541091919,0.7373999953269958,181.84222292900085
117,IR4,3,6,0.753729999,0.7830904126167297,0.748199999332428,191.19416284561157
118,IR4,4,6,0.753729999,0.816511332988739,0.7305999994277954,181.99964380264282
119,IR4,5,6,0.753729999,0.8085362911224365,0.7310000061988831,172.44529938697815
120,IR5,1,1,0.712389994,1.1649059057235718,0.7095999717712402,86.99438261985779
121,IR5,2,1,0.712389994,1.1169090270996094,0.6934000253677368,73.2878634929657
122,IR5,3,1,0.712389994,1.4212870597839355,0.6955999732017517,93.98894143104553
123,IR5,4,1,0.712389994,1.044081211090088,0.7123000025749207,73.47295713424683
124,IR5,5,1,0.712389994,1.2074745893478394,0.7120000123977661,80.3810338973999
125,IR5,1,2,0.712389994,1.2260371446609497,0.70660001039505,66.89836764335632
126,IR5,2,2,0.712389994,2.15555477142334,0.7031000256538391,92.49192953109741
127,IR5,3,2,0.712389994,0.9925411343574524,0.7148000001907349,73.24437761306763
128,IR5,4,2,0.712389994,1.2898939847946167,0.6908000111579895,87.71107745170593
129,IR5,5,2,0.712389994,1.2382605075836182,0.7283999919891357,85.82040405273438
130,IR5,1,3,0.712389994,1.4198179244995117,0.684499979019165,66.58686757087708
131,IR5,2,3,0.712389994,1.3508493900299072,0.6826000213623047,73.45739984512329
132,IR5,3,3,0.712389994,1.5185167789459229,0.7098000049591064,85.45988965034485
133,IR5,4,3,0.712389994,1.5491009950637817,0.6845999956130981,99.76967358589172
134,IR5,5,3,0.712389994,1.2437479496002197,0.6894999742507935,79.16899299621582
135,IR5,1,4,0.712389994,1.3376014232635498,0.6639999747276306,80.1174988746643
136,IR5,2,4,0.712389994,4.55780553817749,0.682699978351593,80.25538945198059
137,IR5,3,4,0.712389994,11.030713081359863,0.635200023651123,79.97901177406311
138,IR5,4,4,0.712389994,2.320181131362915,0.7109000086784363,93.61776900291443
139,IR5,5,4,0.712389994,1.2008090019226074,0.7163000106811523,106.62245798110962
140,IR5,1,5,0.712389994,2.2783522605895996,0.6682999730110168,73.63354682922363
141,IR5,2,5,0.712389994,1.4402583837509155,0.7050999999046326,79.90048050880432
