,number,value,datetime_start,datetime_complete,duration,params_batchind,params_batchnormalization0,params_batchnormalization1,params_batchnormalization2,params_batchnormalization3,params_batchnormalization4,params_batchnormalization5,params_batchnormalization6,params_batchnormalization7,params_dropout,params_epochs,params_filtersind1,params_filtersind2,params_filtersind3,params_filtersind4,params_filtersind5,params_filtersind6,params_filtersind7,params_kernel_size1,params_kernel_size2,params_kernel_size3,params_kernel_size4,params_kernel_size5,params_kernel_size6,params_kernel_size7,params_learnind,params_maxpooling0,params_maxpooling1,params_maxpooling2,params_maxpooling3,params_maxpooling4,params_maxpooling5,params_maxpooling6,params_maxpooling7,params_n_conv_layers,params_n_dense_layers,params_num_hidden_neurons0,params_num_hidden_neurons1,state
53,53,0.9306977391242981,2024-06-28 09:41:21.252204,2024-06-28 10:09:04.932182,0 days 00:27:43.679978,4,False,True,False,False,False,,,,0.35160152791571364,70,7.0,8.0,8.0,5.0,,,,9.0,3.0,11.0,9.0,,,,4,False,True,False,True,False,,,,5,1,,,COMPLETE
54,54,0.8203526139259338,2024-06-28 10:06:47.540034,2024-06-28 10:19:55.444210,0 days 00:13:07.904176,4,False,True,False,False,,,,,0.27534104945063964,77,7.0,7.0,8.0,,,,,7.0,5.0,9.0,,,,,4,False,True,False,True,,,,,4,1,,,COMPLETE
55,55,2.336599349975586,2024-06-28 10:09:04.947639,2024-06-28 10:16:59.082829,0 days 00:07:54.135190,10,False,True,False,False,,,,,0.2511206970994025,78,7.0,7.0,8.0,,,,,7.0,5.0,9.0,,,,,3,False,True,False,True,,,,,4,2,4.0,,COMPLETE
56,56,0.9903973340988159,2024-06-28 10:16:59.098823,2024-06-28 10:31:42.378914,0 days 00:14:43.280091,5,False,True,False,,,,,,0.3917885759535812,116,8.0,7.0,,,,,,7.0,11.0,,,,,,4,False,True,False,,,,,,3,1,,,COMPLETE
57,57,2.3055570125579834,2024-06-28 10:19:55.460167,2024-06-28 10:33:13.248050,0 days 00:13:17.787883,5,False,True,False,,,,,,0.39724515271621574,54,8.0,8.0,,,,,,3.0,11.0,,,,,,3,False,True,False,,,,,,3,3,70.0,20.0,COMPLETE
58,58,0.7604010105133057,2024-06-28 10:31:42.394767,2024-06-28 10:45:10.410814,0 days 00:13:28.016047,6,True,True,False,False,True,True,,,0.3310016554712667,36,7.0,8.0,6.0,5.0,7.0,,,3.0,9.0,5.0,7.0,3.0,,,3,False,True,False,True,False,True,,,6,3,83.0,15.0,COMPLETE
59,59,0.7160629630088806,2024-06-28 10:33:13.263979,2024-06-28 10:42:45.925666,0 days 00:09:32.661687,9,True,True,False,False,True,True,,,0.058896557640784,33,7.0,8.0,6.0,5.0,7.0,,,3.0,9.0,5.0,7.0,3.0,,,3,False,True,False,True,False,True,,,6,2,35.0,,COMPLETE
60,60,1.0557817220687866,2024-06-28 10:42:45.925666,2024-06-28 10:50:13.306639,0 days 00:07:27.380973,9,True,True,False,True,True,True,,,0.030017981980699937,11,6.0,8.0,6.0,5.0,7.0,,,9.0,7.0,5.0,7.0,3.0,,,4,False,True,False,True,False,True,,,6,1,,,COMPLETE
61,61,0.8047292828559875,2024-06-28 10:45:10.426950,2024-06-28 11:03:15.525326,0 days 00:18:05.098376,7,True,False,False,True,True,True,,,0.010943008669461851,10,6.0,8.0,6.0,6.0,8.0,,,9.0,7.0,5.0,11.0,3.0,,,4,False,False,False,True,False,True,,,6,2,52.0,,COMPLETE
62,62,0.8920283913612366,2024-06-28 10:50:13.322231,2024-06-28 10:59:14.464262,0 days 00:09:01.142031,9,True,True,False,False,True,False,,,0.07174437517581844,29,7.0,8.0,6.0,5.0,8.0,,,3.0,9.0,5.0,7.0,3.0,,,3,False,True,False,True,False,True,,,6,2,56.0,,COMPLETE
